# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
shi wu xing 	事務性	c=1 d=0.537944 t=5927
shi xian 	實現	c=12 d=1.20107 t=5927
shi xian cheng ben 	實現成本	c=1 d=0.17552 t=5927
shi xian guo de 	實現過得	c=1 d=0.290835 t=5927
shi xiang 	事相	c=1 d=0.0184074 t=5927
shi xu yao 	是需要	c=1 d=0.722527 t=5927
shi yan 	時延	c=1 d=0.00869506 t=5927
shi yan de 	實驗的	c=0 d=0.000129402 t=5927
shi yao 	是要	c=3 d=0.821517 t=5927
shi yao qu 	是要去	c=1 d=0.236928 t=5927
shi yao you de ba 	是要有的把	c=1 d=0.0239928 t=5927
shi yi 	是一	c=0 d=0.0509156 t=5927
shi yi fang mian 	是一方面	c=1 d=0.511709 t=5927
shi yi xue 	釋義學	c=1 d=0.625002 t=5927
shi yin wei 	是因爲	c=3 d=0.13332 t=5927
shi ying 	適應	c=2 d=0.0590129 t=5927
shi yong 	使用	c=16 d=2.6446 t=5927
shi yong 	是用	c=1 d=0.802519 t=5927
shi yong de 	實用的	c=1 d=0.305746 t=5927
shi yong de shi 	使用的事	c=1 d=3.19928e-05 t=5927
shi yong guo 	是用過	c=1 d=0.540641 t=5927
shi you 	实有	c=2 d=0.0134906 t=5927
shi you 	是有	c=1 d=0.0106202 t=5927
shi you de 	是有的	c=1 d=0.00182715 t=5927
shi you wen ti 	是有問題	c=1 d=0.00280879 t=5927
shi you yu 	是由於	c=1 d=0.000144823 t=5927
shi zai 	实在	c=1 d=0.715338 t=5927
shi zhe fan 	是這番	c=1 d=0.0536647 t=5927
shi zhe ge 	是這個	c=2 d=1.78329 t=5927
shi zhe ge hao 	是這個號	c=1 d=0.591555 t=5927
shi zhe ge ma 	是這個嗎	c=1 d=0.704688 t=5927
shi zhi de 	是指的	c=1 d=0.715338 t=5927
shi zhi jie 	是直接	c=1 d=0.477114 t=5927
shi zhi yao 	是只要	c=1 d=0.298197 t=5927
shi zhi you 	是只有	c=1 d=0.522046 t=5927
shou bu liao 	受不了	c=1 d=0.718924 t=5927
shou dong 	手動	c=1 d=0.00286554 t=5927
shou fei 	收費	c=1 d=0.0739031 t=5927
shou yi 	收益	c=2 d=0.216745 t=5927
shu 	數	c=2 d=0.00249286 t=5927
shu 	書	c=1 d=0.999064 t=5927
shu 	樹	c=0 d=0.0873158 t=5927
shu cang 	數倉	c=4 d=0.904837 t=5927
shu cang 	書倉	c=3 d=2.67419 t=5927
shu chu 	輸出	c=1 d=0.271173 t=5927
shu ju 	數據	c=57 d=3.31337 t=5927
shu ju ku 	數據庫	c=10 d=0.735411 t=5927
shu ju liang 	數據量	c=1 d=0.187312 t=5927
shu ju liang ji 	數據量級	c=1 d=3.94688e-05 t=5927
shu ju yan zheng 	數據驗證	c=1 d=0.826959 t=5927
shu li 	梳理	c=1 d=1.21887e-05 t=5927
shu liang 	數量	c=2 d=0.00934775 t=5927
shu mu 	樹木	c=1 d=0.759572 t=5927
shu ru 	輸入	c=2 d=2.02198 t=5927
shu ru fa 	輸入法	c=8 d=4.9796 t=5927
shu ru fang an 	輸入方案	c=3 d=2.72601 t=5927
shu wo 	恕我	c=0 d=0.0980199 t=5927
shu wo zhi yan 	恕我知言	c=1 d=0.985112 t=5927
shu xu guan 	鼠鬚管	c=4 d=2.50615 t=5927
shu xue 	數學	c=1 d=0.1764 t=5927
shu xue 	書學	c=1 d=0.17552 t=5927
shua 	刷	c=0 d=0.141736 t=5927
shua ge 	刷個	c=1 d=0.000518277 t=5927
shua guo yi ci 	刷過一次	c=1 d=0.826959 t=5927
shua le 	刷了	c=1 d=0.00554422 t=5927
shua shu ju 	刷數據	c=11 d=3.47796 t=5927
shua shu ju le 	刷數據了	c=1 d=0.647265 t=5927
shuang 	雙	c=2 d=3.32637e-05 t=5927
shuang du 	雙讀	c=2 d=0.000408886 t=5927
shuang pin 	雙拼	c=1 d=0.873716 t=5927
shuang xie 	雙寫	c=5 d=0.000995794 t=5927
shuang zhou 	雙週	c=0 d=0.0802519 t=5927
shuang zhou hui 	雙週會	c=1 d=0.806541 t=5927
shui ping 	水平	c=3 d=1.06219 t=5927
shui zuo 	誰做	c=1 d=0.0407622 t=5927
shuo 	說	c=3 d=1.20169 t=5927
shuo shi 	說是	c=2 d=0.554327 t=5927
si 	四	c=1 d=0.822835 t=5927
si hu 	似乎	c=2 d=0.701173 t=5927
si ji 	四級	c=1 d=0.873716 t=5927
si li 	私立	c=1 d=1 t=5822
si qu xiao zi 	四驅小子	c=1 d=0.367879 t=5927
si xin 	死信	c=2 d=0.0699936 t=5927
song nen 	松嫩	c=1 d=0.56836 t=5927
sou gou 	搜狗	c=1 d=0.97531 t=5927
sou suo 	搜索	c=1 d=0.778801 t=5927
su du 	速度	c=2 d=0.590914 t=5927
suan 	算	c=5 d=0.96975 t=5927
suan de ma 	算的嗎	c=2 d=0.185194 t=5927
suan fa 	算法	c=9 d=1.57899 t=5927
suan fa nan du 	算法難度	c=1 d=0.56836 t=5927
suan shi 	算是	c=1 d=0.535261 t=5927
suan yi dao 	算一道	c=1 d=0.0944202 t=5927
suo 	鎖	c=5 d=1.22611 t=5927
suo shi yong 	所使用	c=0 d=0.0615697 t=5927
suo xie 	縮寫	c=2 d=1.24076 t=5927
suo xu 	所需	c=1 d=0.97531 t=5927
suo yi 	所以	c=1 d=0.12938 t=5927
suo yin 	索引	c=2 d=1.19427 t=5927
suo you 	所有	c=4 d=0.453482 t=5927
suo you de 	所有的	c=1 d=0.0314298 t=5927
ta 	他	c=0 d=0.0937067 t=5927
ta 	她	c=1 d=0.373439 t=5927
ta 	它	c=2 d=0.919713 t=5927
ta de 	他的	c=1 d=0.321422 t=5927
ta ji ben 	它基本	c=1 d=0.133989 t=5927
ta men 	他們	c=6 d=1.07808 t=5927
ta men suo shi yong de 	他們所使用的	c=1 d=0.618783 t=5927
ta na 	他那	c=1 d=0.0889216 t=5927
ta shi yao 	它是要	c=1 d=0.0309618 t=5927
ta xian zai 	他現在	c=1 d=0.26054 t=5927
ta yao 	她要	c=0 d=0.022091 t=5927
ta yao shi 	她要是	c=1 d=0.222017 t=5927
ta ying gai 	它應該	c=1 d=0.965605 t=5927
ta you 	他又	c=1 d=0.20089 t=5927
ta zhe 	她這	c=0 d=0.099005 t=5927
ta zhe ci 	她這次	c=1 d=0.995012 t=5927
ta zhe ge 	他這個	c=2 d=0.213312 t=5927
ta zhe zhang biao 	他這張表	c=1 d=0.941765 t=5927
tai 	太	c=0 d=0.0235746 t=5927
tai da le 	太大了	c=1 d=0.149569 t=5927
tai gu lao 	太古老	c=1 d=0.0539337 t=5927
tai lao le 	太老了	c=1 d=0.479505 t=5927
tai man 	太慢	c=1 d=0.786628 t=5927
tai man le 	太慢了	c=1 d=0.71177 t=5927
tai nan shou 	太難受	c=1 d=0.236928 t=5927
tang hui ri 	唐慧日	c=0 d=0.0289384 t=5927
tang hui ri fa tian 	唐慧日法天	c=1 d=0.290835 t=5927
ti 	提	c=1 d=0.00168687 t=5927
ti 	踢	c=0 d=0.0744532 t=5927
ti 	題	c=8 d=1.91947 t=5927
ti bu xing 	題不行	c=1 d=0.279431 t=5927
ti dao 	提到	c=0 d=0.0680451 t=5927
ti dao de 	提到的	c=1 d=0.683861 t=5927
ti gao 	提高	c=1 d=0.514274 t=5927
ti gong 	提供	c=2 d=0.786864 t=5927
ti gong dan 	提工單	c=1 d=0.00603608 t=5927
ti gong de 	提供的	c=1 d=0.647265 t=5927
ti gong ke shi hua de 	提供可視化的	c=1 d=0.421052 t=5927
ti gong le 	提供了	c=1 d=0.694197 t=5927
ti guo 	提過	c=1 d=0.0112769 t=5927
ti huan 	替換	c=1 d=0.380983 t=5927
ti jian 	體檢	c=4 d=2.45352 t=5927
ti jian le 	體檢了	c=1 d=0.771052 t=5927
ti jiao 	提交	c=1 d=0.852144 t=5927
ti ku 	題庫	c=3 d=1.2754 t=5927
ti mu 	題目	c=14 d=3.3946 t=5927
ti mu nan 	題目男	c=1 d=0.571209 t=5927
ti mu nan du 	題目難度	c=1 d=0.574072 t=5927
ti shi 	提示	c=2 d=0.393843 t=5927
ti xing 	提醒	c=3 d=1.63363 t=5927
ti xing 	題型	c=3 d=1.37631 t=5927
tian 	填	c=2 d=0.923116 t=5927
tian 	天	c=3 d=0.765281 t=5927
tian jia 	添加	c=5 d=0.7414 t=5927
tian jia le 	添加了	c=2 d=0.155524 t=5927
tian shu 	天书	c=1 d=0.0380064 t=5927
tian shu 	天數	c=2 d=0.0834717 t=5927
tiao 	調	c=1 d=1.09277 t=5747
tiao dao 	調到	c=1 d=0.00660453 t=5927
tiao jian de 	條件的	c=1 d=0.582748 t=5927
tiao shi 	調試	c=2 d=0.766698 t=5927
tiao zheng 	調整	c=2 d=0.178487 t=5927
tiao zhuan 	跳轉	c=2 d=0.58605 t=5927
tie 	貼	c=0 d=6.39387e-05 t=5927
tie ge 	貼個	c=1 d=0.0678809 t=5927
tie zi 	帖子	c=6 d=0.00325431 t=5927
ting ge 	停格	c=1 d=0.00349997 t=5927
ting ge 	聽個	c=1 d=0.00351752 t=5927
ting kuai 	挺快	c=0 d=0.1 t=5686
ting kuai de 	挺快的	c=1 d=1 t=5687
ting quan 	挺全	c=1 d=0.955997 t=5927
ting xia 	停下	c=1 d=0.408608 t=5927
tong bu 	同步	c=22 d=7.38427 t=5927
tong bu dao 	同步到	c=1 d=0.126186 t=5927
tong bu de 	同步的	c=1 d=0.479505 t=5927
tong bu guo lai 	同步過來	c=1 d=0.000437252 t=5927
tong bu yi fen 	同步一份	c=1 d=0.856415 t=5927
tong guo 	僮国	c=1 d=0.000251014 t=5927
tong guo 	通過	c=2 d=0.0505399 t=5927
tong xue 	同學	c=3 d=0.788224 t=5927
tong yi 	統一	c=4 d=0.786804 t=5927
tong yi ge 	同一個	c=4 d=1.17322 t=5927
tu ran 	突然	c=2 d=0.999261 t=5927
tui 	推	c=0 d=0.0241714 t=5927
tui 	腿	c=0 d=0.0433874 t=5927
tui bu chu lai 	推不出來	c=1 d=0.242926 t=5927
tui jian 	推薦	c=6 d=0.92849 t=5927
tui li 	推理	c=1 d=0.114178 t=5927
tui ti 	推題	c=1 d=0.621885 t=5927
tui ti 	退題	c=1 d=0.618783 t=5927
tui wan ti 	推完題	c=1 d=0.423162 t=5927
tuo feng 	駝峯	c=1 d=0.606531 t=5927
wai bu 	外部	c=6 d=0.786524 t=5927
wai bu wen jian 	外部文件	c=1 d=0.790571 t=5927
wai ceng 	外層	c=0 d=0.000389936 t=5927
wai hu 	外护	c=1 d=0.748264 t=5927
wai hua 	外化	c=7 d=1.52822 t=5927
wai hua 	外話	c=0 d=0.066034 t=5927
wai hua zhang wo du 	外化掌握度	c=1 d=0.755784 t=5927
wai hua zhang wo du 	外話掌握度	c=2 d=1.41567 t=5927
wai hui 	外匯	c=1 d=0.366045 t=5927
wai le 	歪了	c=0 d=0.0995012 t=5927
wan 	完	c=1 d=0.00509243 t=5927
wan 	玩	c=0 d=0.0392586 t=5927
wan guo le ma 	玩過了嗎	c=1 d=0.394554 t=5927
wan le 	完了	c=2 d=0.936616 t=5927
wan le 	萬樂	c=0 d=0.0909373 t=5927
wan mei 	完美	c=1 d=0.729789 t=5927
wan shang 	晚上	c=2 d=0.97531 t=5927
wan ti 	完題	c=7 d=2.5861 t=5927
wan ti shi jian 	完題事件	c=1 d=0.453845 t=5927
wan yi 	玩意	c=2 d=1.12487 t=5927
wang 	往	c=1 d=0.321695 t=5927
wang 	網	c=1 d=0.582748 t=5927
wang yu 	王与	c=1 d=0.740818 t=5927
wang yu 	王雨	c=2 d=0.609571 t=5927
wang zhi 	網址	c=2 d=0.0735345 t=5927
wei 	未	c=3 d=0.650931 t=5927
wei 	爲	c=9 d=1.86382 t=5927
wei dao ru 	未導入	c=3 d=2.16557 t=5927
wei du 	緯度	c=8 d=0.273405 t=5927
wei du zhi 	緯度值	c=1 d=0.210136 t=5927
wei er li 	維爾利	c=1 d=0.189191 t=5927
wei hu 	維護	c=4 d=1.34095 t=5927
wei ke 	微課	c=1 d=0.631284 t=5927
wei le 	爲了	c=7 d=0.804873 t=5927
wei ma 	餵馬	c=1 d=0.609571 t=5927
wei sha 	爲啥	c=5 d=0.865022 t=5927
wei shen me 	爲什麼	c=2 d=0.00507603 t=5927
wei ti 	微體	c=1 d=0.19398 t=5927
wei yi 	唯一	c=2 d=0.843393 t=5927
wei yi jian 	唯一建	c=2 d=0.460704 t=5927
wei yi jian 	唯一鍵	c=6 d=0.316637 t=5927
wei yi jian 	爲意見	c=1 d=0.458406 t=5927
wei zhi 	位置	c=3 d=1.31236 t=5927
wen 	問	c=0 d=0.0798756 t=5927
wen an 	文案	c=2 d=1.79616 t=5927
wen ang 	問昂	c=1 d=0.272532 t=5927
wen dang 	文檔	c=5 d=0.661393 t=5927
wen guo 	問過	c=1 d=0.000587285 t=5927
wen jian 	文件	c=9 d=5.10375 t=5927
wen qiang 	文強	c=1 d=0.0992613 t=5927
wen ti 	問題	c=21 d=2.16155 t=5927
wen ti 	文體	c=1 d=0.865022 t=5927
wen wen 	問問	c=1 d=0.694197 t=5927
wen yi shou 	問一手	c=1 d=1 t=5883
wen yi wen 	問一問	c=1 d=1 t=5659
wo 	我	c=8 d=1.46589 t=5927
wo bang ni 	我幫你	c=1 d=0.254107 t=5927
wo bao de 	我報的	c=1 d=0.00250366 t=5927
wo bu shi 	我不是	c=1 d=0.392586 t=5927
wo cha wen ti 	我查問題	c=1 d=1 t=5671
wo dang shi 	我當時	c=1 d=0.683861 t=5927
wo dou 	我都	c=1 d=0.0909373 t=5927
wo dou mei zuo 	我都沒做	c=1 d=0.913931 t=5927
wo gai 	我該	c=0 d=0.0447088 t=5927
wo gai yi xia 	我該一下	c=1 d=0.449329 t=5927
wo gan jiao 	我感覺	c=1 d=0.00501661 t=5927
wo gang 	我剛	c=1 d=0.241738 t=5927
wo gang wen 	我剛問	c=1 d=0.00133343 t=5927
wo hai 	我還	c=1 d=0.357007 t=5927
wo hai mei you 	我還沒有	c=1 d=0.748264 t=5927
wo he 	我和	c=1 d=0.13068 t=5927
wo hen 	我很	c=0 d=0.00972957 t=5927
wo hen yi huo 	我很疑惑	c=1 d=0.0977834 t=5927
wo jin tian 	我今天	c=1 d=0.806541 t=5927
wo jiu 	我就	c=1 d=0.225373 t=5927
wo jiu shi 	我就是	c=1 d=0.166127 t=5927
wo jue de 	我覺得	c=1 d=0.115903 t=5927
wo kan 	我看	c=5 d=0.845034 t=5927
wo kan dai ma 	我看代碼	c=1 d=0.101774 t=5927
wo kan wo men zhe 	我看我們這	c=1 d=0.0177743 t=5927
wo kang kang 	我康康	c=1 d=0.433874 t=5927
wo me 	我麼	c=0 d=0.0346456 t=5927
wo me zhe ge 	我麼這個	c=1 d=0.348192 t=5927
wo mei 	我沒	c=1 d=0.0110536 t=5927
wo men 	我們	c=8 d=0.540641 t=5927
wo men shi bu shi 	我們是不是	c=1 d=0.280832 t=5927
wo men zhe 	我們這	c=4 d=0.26054 t=5927
wo qu 	我去	c=1 d=0.0471227 t=5927
wo shan le 	我刪了	c=1 d=1 t=5608
wo shi 	我是	c=1 d=0.436049 t=5927
wo shi bu shi 	我是不是	c=1 d=0.856415 t=5927
wo shua guo 	我刷過	c=1 d=0.946485 t=5927
wo shuo 	我說	c=1 d=0.271173 t=5927
wo wai ceng 	我外層	c=1 d=0.00236968 t=5927
wo wen 	我問	c=0 d=0.0366045 t=5927
wo wen le 	我問了	c=2 d=0.760466 t=5927
wo xia le 	我下了	c=1 d=1.35381e-05 t=5927
wo xia wu 	我下午	c=1 d=0.0160027 t=5927
wo xian 	我先	c=5 d=0.562705 t=5927
wo xian zai 	我現在	c=1 d=0.0248475 t=5927
wo xing xu 	我興許	c=1 d=0.339596 t=5927
wo ye 	我也	c=1 d=0.618783 t=5927
wo yi jing 	我已經	c=1 d=0.369723 t=5927
wo yong 	我用	c=0 d=0.1 t=5668
wo yong de 	我用的	c=1 d=1 t=5669
wo za 	我咋	c=1 d=0.532592 t=5927
wo zai 	我在	c=2 d=0.644036 t=5927
wo zhe 	我這	c=2 d=0.594521 t=5927
wo zhe bian 	我這邊	c=1 d=0.955997 t=5927
wo zhe ge 	我這個	c=2 d=1.03557 t=5927
wo zhen de 	我真的	c=0 d=0.0946485 t=5927
wo zhen de fu le 	我真的服了	c=1 d=0.951229 t=5927
wo zhi jie 	我直接	c=1 d=0.625002 t=5927
wo zhu yao 	我主要	c=1 d=0.0221482 t=5927
wu 	五	c=0 d=0.0843665 t=5927
wu 	無	c=3 d=0.565525 t=5927
wu fa 	無法	c=4 d=0.588605 t=5927
wu shang 	无上	c=0 d=0.0427415 t=5927
wu shang xian 	无上先	c=1 d=0.429557 t=5927
wu shang xian 	無上限	c=1 d=0.442639 t=5927
wu suo wei 	無所謂	c=0 d=0.0202909 t=5927
wu suo wei le 	無所謂了	c=1 d=0.203926 t=5927
wu ti 	无题	c=0 d=0.0433874 t=5927
wu ti ke tui 	无题可腿	c=1 d=0.436049 t=5927
wu xing 	五星	c=1 d=0.615697 t=5927
xi guan 	習慣	c=1 d=0.995012 t=5927
xi guan 	膝關	c=1 d=0.99005 t=5927
xi ru 	吸入	c=1 d=0.000100034 t=5927
xi tong 	系統	c=3 d=0.187718 t=5927
xia 	下	c=1 d=0.0562705 t=5927
xia ba 	下巴	c=1 d=0.449329 t=5927
xia ban 	下班	c=1 d=6.50731e-05 t=5927
xia ci 	下次	c=2 d=1.91393 t=5651
xia dan 	下蛋	c=0 d=0.1 t=5844
xia dan le 	下蛋了	c=1 d=1 t=5845
xia ge 	下個	c=1 d=0.034562 t=5927
xia wu 	下午	c=3 d=0.895834 t=5927
xia you 	下游	c=7 d=1.1574 t=5927
xia zai 	下載	c=1 d=0.995012 t=5927
xia zhou 	下週	c=0 d=0.00483156 t=5927
xia zhou er 	下週二	c=1 d=0.0485578 t=5927
xian 	先	c=16 d=1.0086 t=5927
xian 	線	c=1 d=0.169483 t=5927
xian ba 	先把	c=1 d=0.00100779 t=5927
xian ba 	線把	c=1 d=0.00100276 t=5927
xian dao 	先到	c=1 d=0.402524 t=5927
xian gai zhe ge 	先改這個	c=1 d=0.88692 t=5927
xian geng ju 	先更具	c=1 d=0.00941925 t=5927
xian liu 	線流	c=1 d=0.00017956 t=5927
xian liu 	限流	c=1 d=0.00018046 t=5927
xian qian yi 	仙千蟻	c=0 d=0.0865022 t=5927
xian qian yi le 	仙千蟻了	c=1 d=0.869358 t=5927
xian qu 	先去	c=1 d=0.484325 t=5927
xian ran 	顯然	c=1 d=0.220193 t=5927
xian sa huang gong neng 	先撒謊功能	c=1 d=0.00489275 t=5927
xian shang 	線上	c=10 d=1.02494 t=5927
xian shi 	現實	c=2 d=1.5673 t=5927
xian shi 	顯示	c=1 d=0.904837 t=5927
xian you 	現有	c=1 d=0.140156 t=5927
xian zai 	現在	c=11 d=1.15135 t=5927
xian zai shi 	现在世	c=1 d=0.697676 t=5927
xian zai shi 	現在是	c=1 d=0.701173 t=5927
xian zhi 	限制	c=14 d=1.28506 t=5927
xian zhi dao 	先知道	c=1 d=0.188247 t=5927
xian zhi de 	限制的	c=1 d=0.045502 t=5927
xian zhuang 	現狀	c=2 d=0.112551 t=5927
xiang 	想	c=3 d=0.896484 t=5927
xiang dang yu 	相當於	c=3 d=0.398519 t=5927
xiang dui 	相對	c=3 d=0.912672 t=5927
xiang guan 	相關	c=11 d=1.84582 t=5927
xiang guang 	向光	c=7 d=0.980199 t=5927
xiang mu 	項目	c=1 d=0.860708 t=5927
xiang qing 	詳情	c=2 d=1.81873 t=5739
xiang shi 	像是	c=1 d=0.0017555 t=5927
xiang shi 	相室	c=1 d=0.00174675 t=5927
xiang si 	相似	c=1 d=1 t=5756
xiang si 	相思	c=1 d=1 t=5755
xiang wen 	想問	c=0 d=0.0024972 t=5927
xiang wen yi xia 	想問一下	c=1 d=0.0250972 t=5927
xiao 	小	c=6 d=1.58159 t=5927
xiao fei 	消費	c=3 d=0.844437 t=5927
xiao fei de 	消費的	c=1 d=0.909373 t=5927
xiao guo 	效果	c=2 d=0.000292923 t=5927
xiao jing 	小徑	c=0 d=0.0362402 t=5927
xiao le 	笑了	c=2 d=0.401177 t=5927
xiao liu liang 	小流量	c=2 d=1.26385 t=5927
xiao qu 	小區	c=1 d=1 t=5902
xiao shi 	小時	c=2 d=0.00199673 t=5927
xiao xi 	消息	c=4 d=2.25944 t=5927
xiao you 	小友	c=1 d=0.000413853 t=5927
xie 	寫	c=2 d=0.100087 t=5927
xie dao 	斜道	c=1 d=0.433874 t=5927
xie de 	寫的	c=1 d=0.436049 t=5927
xie ge 	寫個	c=1 d=0.120032 t=5927
xie hou 	寫後	c=3 d=0.945919 t=5927
xie jin qu 	寫進去	c=1 d=0.246597 t=5927
xie le 	寫了	c=2 d=1.04622 t=5927
xie le yi ge 	寫了一個	c=1 d=0.0203434 t=5927
xie ru 	寫入	c=12 d=0.792355 t=5927
xie ru le 	寫入了	c=1 d=0.826959 t=5927
xie ru ma 	寫入碼	c=2 d=0.895834 t=5927
xie wan 	寫完	c=4 d=1.65041 t=5927
xie yi yang 	寫一樣	c=1 d=0.249075 t=5927
xin 	新	c=3 d=0.156174 t=5927
xin biao 	新表	c=1 d=0.50409 t=5927
xin biao qian 	新標籤	c=1 d=0.878766 t=5927
xin ce lue 	新策略	c=1 d=1 t=5798
xin de 	新的	c=2 d=0.344728 t=5927
xin jia 	新加	c=3 d=0.945075 t=5927
xin jia de 	新加的	c=1 d=1 t=5927
xin lao 	新老	c=3 d=0.867074 t=5927
xin luo ji 	新邏輯	c=4 d=0.771052 t=5927
xin xi 	信息	c=8 d=0.951229 t=5927
xin xi xue 	信息學	c=1 d=0.67032 t=5927
xin zeng 	新增	c=9 d=2.04421 t=5927
xing 	型	c=1 d=0.231078 t=5927
xing 	性	c=4 d=0.246062 t=5927
xing 	行	c=3 d=0.38868 t=5927
xing a 	行啊	c=1 d=0.336216 t=5927
xing de 	性德	c=1 d=0.479505 t=5927
xing le 	行了	c=1 d=0.460704 t=5927
xing neng 	性能	c=1 d=0.0130365 t=5927
xing shi 	形式	c=0 d=0.0516851 t=5927
xing wei 	行為	c=1 d=0.431711 t=5927
xing xu 	興許	c=0 d=0.0895944 t=5927
xing xu ba 	興許吧	c=1 d=0.740818 t=5927
xiu 	修	c=2 d=0.818731 t=5927
xiu a 	秀啊	c=1 d=2.30004e-05 t=5927
xiu bu wan 	修不晚	c=1 d=0.00506703 t=5927
xiu fu 	修復	c=6 d=0.0263376 t=5927
xiu fu le 	修復了	c=1 d=0.0125881 t=5927
xiu gai 	修改	c=9 d=1.19106 t=5927
xiu gai wei 	修改爲	c=1 d=0.50409 t=5927
xiu gu 	袖箍	c=2 d=0.000583566 t=5927
xiu guo 	修過	c=0 d=0.0965605 t=5927
xiu guo de 	修過的	c=1 d=0.970446 t=5927
xu duo 	許多	c=1 d=0.00115923 t=5927
xu lie 	序列	c=1 d=0.00481991 t=5927
xu qiu 	需求	c=10 d=1.29341 t=5927
xu qiu de 	需求的	c=1 d=0.460704 t=5927
xu yao 	需要	c=16 d=1.39498 t=5927
xu yao dui 	需要對	c=1 d=0.767206 t=5927
xu yao guan zhu 	需要關注	c=1 d=8.02792e-05 t=5927
xuan 	選	c=2 d=0.588605 t=5927
xuan le 	選了	c=1 d=0.546074 t=5927
xuan xiang 	選項	c=1 d=0.449329 t=5927
xuan xing 	選型	c=8 d=0.592305 t=5927
xuan ze 	選擇	c=7 d=1.4564 t=5927
xue guo 	學過	c=3 d=0.113572 t=5927
xue guo 	雪國	c=1 d=0.0320647 t=5927
xue kui 	血虧	c=1 d=0.282239 t=5927
xue nian 	學年	c=1 d=0.000471307 t=5927
xue sheng 	學生	c=3 d=0.000744502 t=5927
ya 	壓	c=1 d=0.0340475 t=5927
ya ao 	壓凹	c=1 d=0.895834 t=5927
ya ce 	壓測	c=4 d=0.263628 t=5927
ya li 	壓力	c=5 d=0.374854 t=5927
yan chi 	延遲	c=1 d=1.92115e-05 t=5927
yan ling 	燕玲	c=1 d=0.733447 t=5927
yan se 	顏色	c=1 d=0.511709 t=5927
yan shi 	延時	c=4 d=1.38017 t=5927
yan zheng 	驗證	c=9 d=0.0822835 t=5927
yang 	楊	c=1 d=0.514274 t=5927
yang 	洋	c=1 d=0.918512 t=5927
yang rui yan 	楊瑞妍	c=1 d=0.806541 t=5927
yang zi 	樣子	c=1 d=0.946485 t=5927
yao 	要	c=5 d=0.77216 t=5927
yao a 	要啊	c=1 d=0.900325 t=5927
yao bu 	要不	c=3 d=1.10031 t=5927
yao bu you hua 	要不優化	c=1 d=0.571209 t=5927
yao chu li 	要處理	c=1 d=0.000850233 t=5927
yao da pei 	要搭配	c=1 d=0.366045 t=5927
yao dou hui gui 	要都回歸	c=1 d=0.353455 t=5927
yao jia ge 	要加個	c=1 d=0.540641 t=5927
yao qu 	要去	c=2 d=0.615772 t=5927
yao shao yi dian 	要少一點	c=1 d=1 t=5726
yao shi 	鑰匙	c=1 d=0.694197 t=5927
yao tong bu 	要同步	c=2 d=0.786628 t=5927
yao xian 	要先	c=1 d=0.794534 t=5927
yao yong 	要用	c=1 d=0.421314 t=5927
yao yong dao 	要用到	c=1 d=0.83527 t=5927
yao zai 	要在	c=1 d=0.0623495 t=5927
yao zhao 	要找	c=0 d=6.7217e-05 t=5927
yao zhao yi ge 	要找一個	c=1 d=0.000675539 t=5927
yao zhe ge 	要這個	c=1 d=0.10383 t=5927
yao zuo 	要做	c=0 d=0.0470011 t=5927
yao zuo le 	要做了	c=1 d=0.472367 t=5927
ye 	也	c=3 d=0.846405 t=5927
ye bu xing 	也不行	c=1 d=0.878095 t=5927
ye bu yi yang 	也不一樣	c=1 d=0.265803 t=5927
ye bu zhi yu 	也不至於	c=1 d=0.271173 t=5927
ye cha bu duo 	也差不多	c=1 d=0.860708 t=5927
ye dou shi 	也都是	c=1 d=0.329559 t=5927
ye gao qi 	也搞起	c=1 d=0.960789 t=5927
ye hai shi 	也還是	c=1 d=1 t=5703
ye hen jian dan 	也很簡單	c=1 d=0.683861 t=5927
ye hui 	也會	c=1 d=0.000165755 t=5927
ye ke yi 	也可以	c=3 d=0.182894 t=5927
ye mei 	也沒	c=1 d=0.120506 t=5927
ye mei ce guo 	也沒測過	c=1 d=0.70822 t=5927
ye mei ren 	也沒人	c=1 d=0.71177 t=5927
ye mei sha 	也沒啥	c=1 d=0.631284 t=5927
ye mei sha wen ti 	也沒啥問題	c=1 d=0.410656 t=5927
ye mei you 	也沒有	c=1 d=0.165299 t=5927
ye mian 	頁面	c=2 d=1.34227 t=5927
ye neng 	也能	c=2 d=0.752014 t=5927
ye sheng 	野生	c=1 d=0.856415 t=5927
ye shi 	也是	c=1 d=0.467666 t=5927
ye ti 	液體	c=0 d=0.0683861 t=5927
ye ti gong le 	液體共樂	c=1 d=0.687289 t=5927
ye wan 	夜晚	c=1 d=0.562705 t=5927
ye wu 	業務	c=10 d=2.70272 t=5927
ye wu ce 	業務側	c=2 d=0.141564 t=5927
ye wu shu 	業務樹	c=1 d=0.860708 t=5927
ye wu si 	叶巫斯	c=1 d=0.856415 t=5927
ye wu suo wei 	也無所謂	c=1 d=0.247833 t=5927
ye you 	也有	c=2 d=0.263158 t=5927
ye zhi neng 	也只能	c=1 d=0.00585769 t=5927
yi 	一	c=1 d=0.4461 t=5927
yi 	以	c=3 d=0.0438913 t=5927
yi ban 	一半	c=1 d=1 t=5720
yi ban 	一版	c=3 d=0.394265 t=5927
yi ban 	一般	c=1 d=1 t=5727
