# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
wei zhe ge 	为这个	c=1 d=0.00120052 t=58
wei zhen 	微针	c=1 d=2.47952e-36 t=58
wei zhi 	为之	c=1 d=8.38859e-22 t=58
wei zhi 	位置	c=38 d=1.31236 t=58
wei zhi 	未知	c=4 d=0.00173805 t=58
wei zhu 	为主	c=1 d=1.06036e-13 t=58
wei zhu ti 	为主题	c=1 d=0.0784731 t=58
wei zhun 	为准	c=3 d=2.8175e-10 t=58
wen 	文	c=16 d=0.26884 t=58
wen 	温	c=1 d=6.61465e-21 t=58
wen 	问	c=49 d=0.271266 t=58
wen an 	文案	c=39 d=1.79616 t=58
wen ang 	问昂	c=1 d=0.272532 t=58
wen ben 	文本	c=85 d=0.677601 t=58
wen ben hua 	文本化	c=3 d=6.67501e-07 t=58
wen ben hua 	文本话	c=1 d=3.38247e-13 t=58
wen ben sha de 	文本啥的	c=1 d=1.13288e-56 t=58
wen ben zhong 	文本中	c=1 d=7.87138e-38 t=58
wen bu 	稳步	c=1 d=5.10909e-13 t=58
wen bu xiang qian 	稳步向前	c=2 d=5.1347e-12 t=58
wen cuo ren 	问错认	c=1 d=1.80178e-15 t=58
wen da 	问答	c=155 d=0.229227 t=58
wen da a 	问答啊	c=1 d=4.44314e-16 t=58
wen da shi 	问答式	c=1 d=2.51921e-17 t=58
wen dan 	文旦	c=2 d=6.48226e-34 t=58
wen dang 	文档	c=115 d=0.942283 t=58
wen dang ba 	文档吧	c=1 d=2.82335e-05 t=58
wen dang de 	文档的	c=1 d=1.59283e-06 t=58
wen dang he 	文档和	c=1 d=3.15155e-34 t=58
wen dang le 	文档了	c=1 d=7.59677e-32 t=58
wen dang li 	文档里	c=3 d=2.86651e-07 t=58
wen dang ming zi 	文档名字	c=1 d=3.54045e-50 t=58
wen dang shang 	文档上	c=3 d=2.73228e-20 t=58
wen dao 	问道	c=1 d=3.54671e-12 t=58
wen de 	文德	c=0 d=3.21138e-21 t=58
wen de 	问的	c=5 d=2.16124e-09 t=58
wen ding 	稳定	c=28 d=0.307277 t=58
wen ding de 	稳定的	c=1 d=0.594521 t=58
wen ding xing 	稳定性	c=27 d=0.741524 t=58
wen du 	温度	c=2 d=0.0085435 t=58
wen fa 	问法	c=1 d=3.02375e-47 t=58
wen gao 	文稿	c=3 d=6.93081e-20 t=58
wen ge 	文蛤	c=1 d=7.05408e-13 t=58
wen gu 	稳固	c=1 d=3.24752e-34 t=58
wen guo 	问过	c=11 d=0.0108911 t=58
wen guo le 	问过了	c=3 d=2.40051e-08 t=58
wen hou yu 	问候语	c=1 d=7.5782e-62 t=58
wen hua 	文化	c=3 d=3.1386e-15 t=58
wen jia 	文佳	c=1 d=0.440432 t=58
wen jian 	文件	c=156 d=5.10375 t=58
wen jian de 	文件的	c=1 d=2.99224e-12 t=58
wen jian jia 	文件夹	c=5 d=0.0943634 t=58
wen jian jia 	文件架	c=6 d=0.0938928 t=58
wen jian li 	文件里	c=1 d=5.12406e-17 t=58
wen jian ming 	文件名	c=4 d=1.00001 t=58
wen jian pei zhi 	文件配置	c=1 d=2.94769e-12 t=58
wen jian xia 	文件下	c=1 d=0.0137049 t=58
wen jian xing 	稳健性	c=1 d=0.0124629 t=58
wen jiang 	温江	c=1 d=1.6544e-11 t=58
wen juan 	问卷	c=2 d=2.18333e-11 t=58
wen ke 	文科	c=29 d=0.357007 t=58
wen ken 	问肯	c=1 d=2.8976e-75 t=58
wen le 	问了	c=9 d=0.035437 t=58
wen le yi ge 	问了一个	c=1 d=2.03704e-47 t=58
wen le yi xia 	问了一下	c=1 d=5.60375e-11 t=58
wen li 	文礼	c=1 d=5.4565e-80 t=58
wen li ke 	文理科	c=1 d=2.1053e-23 t=58
wen lin tun 	纹鳞鲀	c=1 d=0.000548905 t=58
wen ni 	问你	c=11 d=0.0500366 t=58
wen ni ti 	问你题	c=3 d=0.000918669 t=58
wen ni yao bu 	问你要不	c=1 d=2.3844e-17 t=58
wen nuan 	温暖	c=1 d=9.37356e-34 t=58
wen qiang 	文强	c=9 d=0.0992613 t=58
wen qing 	温情	c=1 d=1.41026e-15 t=58
wen shen me 	问什么	c=1 d=2.46849e-13 t=58
wen sheng 	文生	c=0 d=2.00678e-19 t=58
wen sheng tu 	文生图	c=1 d=2.01684e-18 t=58
wen ta 	问他	c=2 d=9.785e-10 t=58
wen ti 	文体	c=2 d=0.865022 t=58
wen ti 	问题	c=1050 d=2.17234 t=58
wen ti ba 	问题吧	c=1 d=0.00588705 t=58
wen ti bu da 	问题不大	c=43 d=0.110823 t=58
wen ti da 	问题大	c=1 d=7.44128e-24 t=58
wen ti hou 	问题后	c=1 d=0.00344787 t=58
wen ti jian 	问题件	c=1 d=3.97829e-10 t=58
wen ti le 	问题了	c=1 d=4.29923e-11 t=58
wen ti le ba 	问题了吧	c=1 d=1.93329e-79 t=58
wen ti ma 	问题吗	c=2 d=2.97114e-17 t=58
wen ti shi 	问题是	c=7 d=0.00398587 t=58
wen ti shu 	问题数	c=4 d=1.14179e-34 t=58
wen ti ye bu da 	问题也不大	c=1 d=1.62949e-09 t=58
wen ti zu 	问题组	c=1 d=5.30189e-36 t=58
wen tuo 	稳妥	c=1 d=6.00374e-28 t=58
wen wan 	温婉	c=1 d=4.06003e-14 t=58
wen wen 	问问	c=75 d=0.915587 t=58
wen wen ba 	问问吧	c=2 d=2.38237e-07 t=58
wen wen ni 	问问你	c=2 d=9.0327e-10 t=58
wen wen ti 	问问题	c=1 d=2.13384e-05 t=58
wen wo 	吻我	c=2 d=2.3477e-11 t=58
wen wo 	问我	c=8 d=0.00875977 t=58
wen wo ge 	问我个	c=1 d=0.0880368 t=58
wen wo zhe ge 	问我这个	c=1 d=1.17228e-17 t=58
wen xia lai 	问下来	c=1 d=3.77373e-36 t=58
wen xian 	文献	c=4 d=0.0643784 t=58
wen xin 	文心	c=9 d=0.0176108 t=58
wen xin 	温心	c=1 d=3.94755e-07 t=58
wen xin yi yan 	文心一言	c=9 d=7.93508e-07 t=58
wen xue 	文学	c=1 d=2.49287e-11 t=58
wen yi 	文艺	c=0 d=1.02052e-34 t=58
wen yi dian 	文艺点	c=1 d=1.02563e-33 t=58
wen yi shou 	问一手	c=2 d=0.802519 t=58
wen yi wen 	问一问	c=2 d=0.511709 t=58
wen yi xia 	问一下	c=9 d=8.4206e-08 t=58
wen yu 	文娱	c=1 d=2.9757e-35 t=58
wen zhang 	文章	c=17 d=0.398539 t=58
wen zhe ge 	问这个	c=3 d=2.02522e-08 t=58
wen zi 	文字	c=17 d=2.15149e-06 t=58
wo 	我	c=741 d=1.96454 t=58
wo a 	我啊	c=1 d=7.12861e-19 t=58
wo an zhao 	我按照	c=1 d=1.58488e-06 t=58
wo ba 	我把	c=7 d=1.67074e-09 t=58
wo ba 	我爸	c=13 d=0.0236356 t=58
wo ba 	握把	c=1 d=0.000100276 t=58
wo ba ni 	我把你	c=1 d=4.33934e-32 t=58
wo ba ta 	我把她	c=1 d=4.2111e-32 t=58
wo ba ta 	握把它	c=1 d=0.00100779 t=58
wo bai piao 	我白嫖	c=1 d=7.72496e-23 t=58
wo ban nian 	我半年	c=1 d=1.72133e-07 t=58
wo bang 	我帮	c=0 d=1.21527e-30 t=58
wo bang ni 	我帮你	c=4 d=0.254107 t=58
wo bang ren 	我帮人	c=1 d=1.51149e-07 t=58
wo bang ta men 	我帮他们	c=1 d=1.22136e-29 t=58
wo bao de 	我报的	c=1 d=0.00250366 t=58
wo bei 	我被	c=6 d=0.00139818 t=58
wo bei ta 	我被他	c=1 d=0.0140519 t=58
wo ben lai 	我本来	c=6 d=2.47362e-08 t=58
wo ben lai ye 	我本来也	c=1 d=2.82576e-15 t=58
wo ben lai ye bu shi 	我本来也不是	c=1 d=1.80737e-22 t=58
wo bi ye yu 	我毕业于	c=1 d=0.000126534 t=58
wo bian shang 	我边上	c=1 d=7.42989e-06 t=58
wo bu 	我不	c=6 d=9.51836e-09 t=58
wo bu chong 	我补充	c=1 d=6.32897e-31 t=58
wo bu de 	我不得	c=1 d=6.99959e-10 t=58
wo bu dian 	我不点	c=1 d=8.83098e-09 t=58
wo bu dong 	我不懂	c=1 d=0.00746459 t=58
wo bu dong a 	我不懂啊	c=1 d=0.07502 t=58
wo bu gan zhi 	我不感知	c=1 d=7.32799e-20 t=58
wo bu gen ta 	我不跟他	c=1 d=1.10191e-24 t=58
wo bu guan 	我不管	c=3 d=7.12497e-13 t=58
wo bu hui 	我不会	c=3 d=5.30099e-34 t=58
wo bu ji 	我不急	c=1 d=1.64134e-06 t=58
wo bu jiu 	我不就	c=1 d=2.30082e-09 t=58
wo bu jiu shi 	我不就是	c=1 d=2.23123e-30 t=58
wo bu kai xuan 	我不凯旋	c=1 d=9.44332e-33 t=58
wo bu kan 	我不看	c=2 d=2.34084e-06 t=58
wo bu kuai le 	我不快乐	c=2 d=5.61921e-14 t=58
wo bu li jie 	我不理解	c=4 d=2.83066e-06 t=58
wo bu neng 	我不能	c=2 d=0.219808 t=58
wo bu qu 	我不去	c=2 d=1.97589e-12 t=58
wo bu que ding 	我不确定	c=2 d=5.54799e-11 t=58
wo bu ren shi 	我不认识	c=1 d=1.07954e-18 t=58
wo bu shi 	我不是	c=18 d=0.392586 t=58
wo bu suan 	我不算	c=1 d=4.00367e-26 t=58
wo bu tai 	我不太	c=2 d=3.46751e-11 t=58
wo bu wan 	我不玩	c=3 d=3.96101e-47 t=58
wo bu xi wang 	我不希望	c=3 d=1.54733e-18 t=58
wo bu xiang 	我不想	c=4 d=1.73833e-05 t=58
wo bu xiang yao 	我不想要	c=1 d=1.43875e-15 t=58
wo bu xiang yong 	我不想用	c=1 d=2.39423e-36 t=58
wo bu xin 	我不信	c=2 d=1.7658e-13 t=58
wo bu xu yao 	我不需要	c=3 d=0.000466618 t=58
wo bu yong 	我不用	c=1 d=1.62977e-11 t=58
wo bu zhi 	我不知	c=1 d=0.0214936 t=58
wo bu zhi dao 	我不知道	c=9 d=9.54179e-08 t=58
wo bu zuo 	我不做	c=1 d=8.13236e-10 t=58
wo cai 	我才	c=1 d=2.26734e-13 t=58
wo cai 	我猜	c=2 d=3.23133e-34 t=58
wo cai de 	我猜的	c=1 d=5.32847e-36 t=58
wo cai wo 	我猜我	c=1 d=6.94529e-36 t=58
wo can kao 	我参考	c=1 d=0.00726273 t=58
wo can kao le 	我参考了	c=1 d=1.98e-07 t=58
wo cao 	卧槽	c=1 d=2.59541e-44 t=58
wo ce shi 	我测试	c=2 d=2.30795e-16 t=58
wo cha bu duo 	我差不多	c=1 d=7.64029e-11 t=58
wo cha cha 	我查查	c=1 d=1.83693e-07 t=58
wo cha dao le 	我查到了	c=1 d=1.14785e-34 t=58
wo cha wen ti 	我查问题	c=1 d=0.278037 t=58
wo cha xun 	我查询	c=2 d=3.31087e-26 t=58
wo chai 	我拆	c=1 d=9.27398e-26 t=58
wo chan kao lv 	我产考虑	c=1 d=0.0072265 t=58
wo chao 	我抄	c=1 d=6.80914e-09 t=58
wo cheng long 	我程龙	c=2 d=1.88895e-12 t=58
wo chi wan fan 	我吃完饭	c=2 d=8.86749e-38 t=58
wo chou 	我瞅	c=1 d=2.33997e-31 t=58
wo chou chou 	我瞅瞅	c=5 d=1.39263e-14 t=58
wo chou chou le 	我瞅瞅了	c=1 d=1.00584e-39 t=58
wo chou cou 	我抽凑	c=1 d=4.09944e-10 t=58
wo chou le 	我抽了	c=1 d=1.11203e-14 t=58
wo chou le 	我瞅了	c=1 d=2.67172e-32 t=58
wo chou le ge 	我抽了个	c=1 d=3.80752e-82 t=58
wo chu li 	我处理	c=1 d=3.33903e-08 t=58
wo chuan 	我传	c=1 d=3.32181e-06 t=58
wo chuan can 	我传惨	c=1 d=0.00174675 t=58
wo cong 	我从	c=2 d=1.06126e-23 t=58
wo cong lai 	我从来	c=3 d=3.30637e-10 t=58
wo cuo le 	我错了	c=1 d=2.00644e-16 t=58
wo da gai 	我大概	c=2 d=2.75646e-17 t=58
wo da zi hen man de 	我打字很慢的	c=1 d=4.66826e-68 t=58
wo dang 	我当	c=1 d=9.18326e-28 t=58
wo dang nian 	我当年	c=1 d=3.65348e-08 t=58
wo dang ran shi 	我当然是	c=1 d=0.00660453 t=58
wo dang shi 	我当时	c=15 d=0.683861 t=58
wo dang tian 	我当天	c=1 d=2.98502e-13 t=58
wo dao 	我倒	c=2 d=0.0124629 t=58
wo dao shi 	我倒是	c=1 d=1.16002e-11 t=58
wo dao shi hou 	我到时候	c=1 d=1.79249e-13 t=58
wo de 	我得	c=2 d=0.000294568 t=58
wo de 	我的	c=61 d=0.420339 t=58
wo de de 	我的的	c=1 d=0.0322254 t=58
wo de xu qiu 	我的需求	c=1 d=0.108609 t=58
wo dei 	我得	c=5 d=0.000596161 t=58
wo deng hui 	我等会	c=3 d=2.73991e-05 t=58
wo di yi 	我第一	c=1 d=4.22128e-31 t=58
wo di yi ci 	我第一次	c=2 d=1.14216e-05 t=58
wo dian 	我点	c=2 d=2.28305e-06 t=58
wo dian jin qu 	我点进去	c=1 d=7.38882e-29 t=58
wo diao 	我掉	c=1 d=0.0335406 t=58
wo diao yong de 	我掉用的	c=1 d=5.57296e-05 t=58
wo dong 	我懂	c=1 d=0.00078095 t=58
wo dou 	我都	c=27 d=0.802519 t=58
wo dou bu ji de 	我都不记得	c=1 d=3.0706e-22 t=58
wo dou bu kan 	我都不看	c=1 d=1.21069e-14 t=58
wo dou bu yong 	我都不用	c=1 d=0.00149594 t=58
wo dou bu zhi dao 	我都不知道	c=3 d=2.18935e-13 t=58
wo dou di 	我兜底	c=1 d=3.96978e-73 t=58
wo dou jue de 	我都觉得	c=1 d=1.65609e-23 t=58
wo dou kuai 	我都快	c=2 d=2.0615e-11 t=58
wo dou mei zuo 	我都没做	c=1 d=0.913931 t=58
wo dou shi 	我都是	c=9 d=2.17695e-05 t=58
wo dou shuo le 	我都说了	c=1 d=1.52668e-07 t=58
wo dou xiang yao 	我都想要	c=1 d=1.15781e-18 t=58
wo dou xing 	我都行	c=1 d=4.01062e-17 t=58
wo dou xing a 	我都行啊	c=1 d=0.319819 t=58
wo dou yao 	我都要	c=1 d=2.71357e-09 t=58
wo dou you 	我都有	c=1 d=4.68049e-40 t=58
wo du hou gan 	我读后感	c=1 d=3.78297e-06 t=58
wo dui 	我对	c=6 d=3.41706e-06 t=58
wo dui mian 	我对面	c=3 d=4.52086e-27 t=58
wo dui ni 	我对你	c=2 d=4.51889e-09 t=58
wo duo 	我多	c=1 d=1.80645e-16 t=58
wo duo xing 	我多形	c=1 d=6.31714e-09 t=58
wo e ti 	我颚体	c=1 d=4.41032e-17 t=58
wo en ni ting 	我恩你听	c=1 d=3.82425e-16 t=58
wo fa 	我发	c=0 d=1.93539e-34 t=58
wo fa dao 	我发到	c=1 d=1.65609e-23 t=58
wo fa ni 	我发你	c=1 d=1.94509e-33 t=58
wo fa xian 	我发现	c=6 d=0.111359 t=58
wo fan dian 	我饭点	c=1 d=1.1126e-20 t=58
wo fan dou mei 	我饭都没	c=1 d=4.15772e-29 t=58
wo fan hui 	我返回	c=1 d=9.33346e-13 t=58
wo fan zheng 	我反正	c=2 d=5.7603e-41 t=58
wo fang dao 	我放到	c=1 d=7.86201e-24 t=58
wo fang fang 	我芳芳	c=4 d=0.0127147 t=58
wo fang fang jie jie 	我芳芳姐姐	c=14 d=0.918724 t=58
wo fen ni 	我分你	c=1 d=2.37622e-06 t=58
wo fo 	卧佛	c=0 d=4.26298e-30 t=58
wo fo le 	卧佛了	c=1 d=4.28435e-29 t=58
wo fo le 	我佛了	c=3 d=2.72625e-05 t=58
wo fu jin 	我附近	c=1 d=4.76612e-18 t=58
wo fu le 	我服了	c=18 d=0.00600598 t=58
wo fu wu 	我服务	c=1 d=3.5168e-30 t=58
wo fu zhi 	我复制	c=2 d=1.41979e-06 t=58
wo gai 	我改	c=4 d=0.000183188 t=58
wo gai 	我该	c=1 d=0.0447088 t=58
wo gai cheng 	我改成	c=1 d=5.7337e-16 t=58
wo gai de 	我该的	c=2 d=4.25573e-09 t=58
wo gai ge 	我改个	c=2 d=8.27381e-07 t=58
wo gai le 	我改了	c=2 d=1.19184e-83 t=58
wo gai yi xia 	我该一下	c=2 d=0.449329 t=58
wo gan cai 	我干菜	c=1 d=1.6904e-29 t=58
wo gan jiao 	我感觉	c=1 d=0.00501661 t=58
wo gan jue 	我感觉	c=16 d=0.000466618 t=58
wo gang 	我刚	c=6 d=0.241738 t=58
wo gang cai 	我刚才	c=7 d=0.453099 t=58
wo gang dao 	我肛道	c=1 d=1.64956e-06 t=58
wo gang gei ta 	我刚给他	c=1 d=1.6244e-31 t=58
wo gang wen 	我刚问	c=1 d=0.00133343 t=58
wo gao shu 	我高枢	c=1 d=1.37348e-57 t=58
wo ge 	我哥	c=1 d=1.26551e-35 t=58
wo gei 	我给	c=8 d=0.0294518 t=58
wo gei chu de 	我给出的	c=1 d=2.86993e-21 t=58
wo gei de 	我给的	c=2 d=9.2136e-08 t=58
wo gei de ba 	我给的吧	c=1 d=1.16599e-42 t=58
wo gei guo 	我给过	c=1 d=1.15125e-10 t=58
wo gei ni 	我给你	c=3 d=0.321422 t=58
wo gei ni de 	我给你的	c=1 d=9.25761e-64 t=58
wo gei ni ge 	我给你个	c=1 d=7.69036e-29 t=58
wo gei rang ni 	我给让你	c=1 d=3.60963e-13 t=58
wo gen 	我跟	c=0 d=2.36429e-36 t=58
wo gen ben 	我根本	c=3 d=3.85336e-17 t=58
wo gen ta 	我跟她	c=1 d=5.31019e-25 t=58
wo gen zhe 	我跟这	c=1 d=2.37614e-35 t=58
wo geng duo de 	我更多的	c=1 d=8.14482e-28 t=58
wo geng xin 	我更新	c=1 d=4.24244e-31 t=58
wo gong ka 	我工卡	c=1 d=1.00204e-24 t=58
wo guang kan 	我光看	c=1 d=7.55888e-32 t=58
wo guo 	我国	c=1 d=2.39497e-69 t=58
wo guo 	我过	c=0 d=4.43214e-76 t=58
wo guo lv 	我过滤	c=2 d=1.12826e-08 t=58
wo guo qing 	我国庆	c=1 d=2.98238e-32 t=58
wo guo qing qian 	我国庆前	c=1 d=1.50677e-29 t=58
wo guo qu 	我过去	c=1 d=2.11333e-09 t=58
wo guo yi xia 	我过一下	c=1 d=4.45435e-75 t=58
wo hai 	我还	c=20 d=0.357007 t=58
wo hai de 	我还得	c=3 d=2.02488e-06 t=58
wo hai hao 	我还好	c=1 d=4.36792e-21 t=58
wo hai mei 	我还没	c=5 d=0.0184997 t=58
wo hai mei you 	我还没有	c=1 d=0.748264 t=58
wo hai neng 	我还能	c=1 d=3.39642e-32 t=58
wo hai shi 	我还是	c=8 d=0.00970611 t=58
wo hai shi bu 	我还是不	c=1 d=7.32877e-80 t=58
wo hai xing 	我还行	c=3 d=1.22916e-08 t=58
wo hai yi wei 	我还以为	c=1 d=1.40734e-20 t=58
wo hai yi wei shi 	我还以为是	c=1 d=0.0197421 t=58
wo hai zai 	我还在	c=4 d=6.36848e-16 t=58
wo hao 	我好	c=0 d=0.000514361 t=58
wo hao jiu 	我好久	c=1 d=9.00295e-30 t=58
wo hao lei 	我好累	c=1 d=0.00467746 t=58
wo hao lie 	我好列	c=1 d=0.00516939 t=58
wo hao qi 	我好气	c=1 d=7.39007e-31 t=58
wo hao xiang 	我好想	c=8 d=0.00096346 t=58
wo he 	我和	c=15 d=0.13068 t=58
wo he bing 	我合并	c=2 d=6.74598e-17 t=58
wo he ni 	我和你	c=3 d=3.60545e-43 t=58
wo he wo 	我和我	c=2 d=4.44314e-16 t=58
wo he wo yu ge 	我和我雨哥	c=1 d=3.01348e-07 t=58
wo hen 	我很	c=2 d=0.00972957 t=58
wo hen nan shou 	我很难受	c=1 d=3.6576e-80 t=58
wo hen shuai 	我很帅	c=1 d=1.15423e-11 t=58
wo hen yi huo 	我很疑惑	c=1 d=0.0977834 t=58
wo hou mian 	我后面	c=19 d=0.0271874 t=58
wo hou xu 	我后续	c=1 d=0.00351752 t=58
wo hua 	我话	c=0 d=9.40293e-13 t=58
wo hua yi 	我话一	c=2 d=3.49366e-08 t=58
wo huai yi 	我怀疑	c=3 d=0.0184997 t=58
wo huan 	涡环	c=1 d=4.10014e-12 t=58
wo huan ge 	我换个	c=3 d=9.63604e-06 t=58
wo hui 	我会	c=14 d=0.00463971 t=58
wo hui gun 	我回滚	c=1 d=0.000668817 t=58
wo hui jiu 	我会就	c=1 d=1.39671e-19 t=58
wo hui le 	我会了	c=2 d=3.33381e-19 t=58
wo hui tong shi 	我会同是	c=1 d=6.4137e-11 t=58
wo hui wen ni 	我会问你	c=2 d=4.47458e-21 t=58
wo hui zuo 	我会做	c=1 d=1.98742e-51 t=58
wo ji 	我急	c=1 d=2.15156e-14 t=58
wo ji ben 	我基本	c=4 d=1.66728e-14 t=58
wo ji de 	我记得	c=16 d=0.494242 t=58
wo ji dei 	我急得	c=2 d=4.92817e-29 t=58
wo ji shi 	我及时	c=1 d=1.24777e-16 t=58
wo jia 	我家	c=2 d=4.89081e-43 t=58
wo jia 	沃加	c=1 d=5.94704e-34 t=58
wo jia ge 	我加个	c=3 d=8.96139e-05 t=58
wo jia le 	我加了	c=1 d=2.16448e-55 t=58
wo jia le ge 	我加了个	c=1 d=9.86622e-19 t=58
wo jia rui 	我家瑞	c=1 d=0.053397 t=58
wo jia xing 	我假性	c=1 d=0.0209629 t=58
wo jia yi xia 	我加一下	c=2 d=5.9349e-10 t=58
wo jian li 	我建立	c=1 d=0.00129402 t=58
wo jian yi 	我建议	c=1 d=1.00638e-16 t=58
wo jiang 	我讲	c=1 d=1.60649e-14 t=58
wo jiang ba 	我讲吧	c=1 d=1.1345e-14 t=58
wo jiao 	我叫	c=1 d=2.46681e-05 t=58
wo jie ge 	我杰哥	c=104 d=0.752518 t=58
wo jie kou 	我接口	c=1 d=3.97951e-43 t=58
wo jie xia lai 	我接下来	c=1 d=3.74597e-08 t=58
wo jin bu qu 	我进不去	c=1 d=6.74828e-21 t=58
wo jin liang 	我尽量	c=1 d=5.23737e-39 t=58
wo jin nian 	我今年	c=1 d=1.53804e-06 t=58
wo jin qu 	我进去	c=2 d=0.357007 t=58
wo jin tian 	我今天	c=7 d=0.806541 t=58
wo jiu 	我就	c=79 d=0.592955 t=58
wo jiu bu yong 	我就不用	c=1 d=1.20383e-06 t=58
wo jiu lai 	我就来	c=1 d=1.0083e-09 t=58
wo jiu qu 	我就去	c=5 d=0.0116203 t=58
wo jiu qu kan 	我就去看	c=1 d=3.31359e-65 t=58
wo jiu shi 	我就是	c=16 d=0.166127 t=58
wo jiu ti gong le 	我就提供了	c=1 d=1.26879e-36 t=58
wo jiu xian 	我就先	c=1 d=3.96869e-11 t=58
wo jiu xiang 	我就想	c=1 d=7.68251e-17 t=58
wo jiu yao qu 	我就要去	c=1 d=1.98e-07 t=58
wo jiu ye 	我就也	c=1 d=2.34164e-10 t=58
wo jiu yong zhe 	我就用这	c=1 d=6.55797e-08 t=58
wo jue de 	我觉得	c=55 d=0.535668 t=58
wo jue de ba 	我觉得吧	c=4 d=0.106459 t=58
wo jue dei 	我绝得	c=2 d=0.0741602 t=58
wo jue zhe 	我觉者	c=1 d=6.33328e-39 t=58
wo jun 	我军	c=1 d=1.85186e-14 t=58
wo jun zhou 	我军舟	c=1 d=3.85533e-23 t=58
wo jun zi 	我俊子	c=10 d=0.0224829 t=58
wo jun zi e 	我俊子额	c=1 d=7.08703e-09 t=58
wo ka na ke neng 	我卡那可能	c=1 d=9.88503e-12 t=58
wo ka zhe ne 	我卡着呢	c=1 d=7.71289e-34 t=58
wo kai fa 	我开发	c=1 d=1.29332e-26 t=58
wo kai fa wan le 	我开发完了	c=1 d=0.000116223 t=58
wo kai le 	我开了	c=1 d=1.33502e-17 t=58
wo kai wan 	我开完	c=1 d=0.0119145 t=58
wo kai wan le 	我开完了	c=1 d=2.58123e-09 t=58
wo kan 	我看	c=67 d=0.856715 t=58
wo kan bu 	我看不	c=1 d=0.00172074 t=58
wo kan dai ma 	我看代码	c=1 d=0.101774 t=58
wo kan dao 	我看到	c=2 d=2.67872e-05 t=58
wo kan dao le 	我看到了	c=3 d=0.000269215 t=58
wo kan de 	我看的	c=1 d=2.3031e-50 t=58
wo kan hao 	我看号	c=1 d=8.9736e-21 t=58
wo kan jiu 	我看就	c=1 d=1.8155e-16 t=58
wo kan kan 	我看看	c=2 d=8.27804e-13 t=58
wo kan le 	我看了	c=6 d=0.299692 t=58
wo kan le yi xia 	我看了一下	c=1 d=5.9216e-13 t=58
wo kan na 	我看那	c=1 d=2.94008e-11 t=58
wo kan ni 	我看你	c=3 d=6.5602e-12 t=58
wo kan ni men 	我看你们	c=1 d=2.2332e-11 t=58
wo kan sha 	我看啥	c=1 d=8.13651e-16 t=58
wo kan ta 	我看他	c=1 d=1.62385e-27 t=58
wo kan wo 	我看我	c=1 d=3.63774e-16 t=58
wo kan wo men zhe 	我看我们这	c=2 d=0.0177743 t=58
wo kan yi xia 	我看一下	c=1 d=2.06256e-17 t=58
wo kan zhe 	我看着	c=10 d=0.00111378 t=58
wo kang kang 	我康康	c=2 d=0.433874 t=58
wo kao jin 	我靠近	c=1 d=1.23494e-12 t=58
wo ke 	我可	c=1 d=1.56991e-12 t=58
wo ke 	沃克	c=0 d=1.51592e-13 t=58
wo ke bie 	我可别	c=1 d=2.28973e-11 t=58
wo ke bu xiang 	沃克不想	c=1 d=1.52352e-12 t=58
wo ke mang le 	我可忙了	c=1 d=1.31945e-26 t=58
wo ke mei 	我可没	c=1 d=1.06346e-18 t=58
wo ke neng 	我可能	c=2 d=2.93958e-10 t=58
wo ke neng jiu 	我可能就	c=1 d=2.95431e-09 t=58
wo ke shi 	我可是	c=1 d=7.16435e-19 t=58
wo ke yi 	我可以	c=11 d=0.0106734 t=58
wo ke yi dian 	我可以点	c=1 d=3.02488e-22 t=58
wo ke yi qu 	我可以去	c=1 d=5.09937e-19 t=58
wo ke yi xian 	我可以先	c=1 d=0.000119762 t=58
wo kong zhi 	我控制	c=1 d=6.1217e-51 t=58
wo kuai 	我快	c=1 d=0.0156858 t=58
wo kuai le le 	我快乐了	c=1 d=1.46552e-26 t=58
wo la 	我拉	c=1 d=5.35717e-11 t=58
wo la guo 	我拉过	c=1 d=3.71185e-18 t=58
wo la le 	我拉了	c=1 d=4.964e-26 t=58
wo lai 	我来	c=13 d=2.15762e-05 t=58
wo lai ba 	我来吧	c=1 d=4.73141e-79 t=58
wo lai gai yi shou 	我来改一手	c=1 d=4.30582e-29 t=58
wo lai gai yi xia 	我来改一下	c=1 d=2.96963e-11 t=58
wo lai gao 	我来搞	c=1 d=3.82295e-12 t=58
wo lai kan de hua 	我来看的话	c=1 d=9.69031e-72 t=58
wo lai pei 	我来配	c=1 d=6.10693e-52 t=58
wo lai zuo 	我来做	c=1 d=1.26685e-18 t=58
wo lai zuo de 	我来做的	c=1 d=8.84301e-25 t=58
wo lan de xie le 	我懒得写了	c=1 d=0.319819 t=58
wo lang 	我狼	c=1 d=9.75974e-09 t=58
wo lao zao 	我老早	c=1 d=1.31287e-26 t=58
wo le 	我了	c=6 d=0.00013572 t=58
wo leng qi 	我冷启	c=1 d=0.000387808 t=58
wo li jie 	我理解	c=23 d=0.516851 t=58
wo li jie ei 	我理解诶	c=2 d=3.02118e-37 t=58
wo li ma 	我立马	c=2 d=3.57311e-11 t=58
wo lian 	我连	c=2 d=3.96937e-13 t=58
wo lian ye 	我连夜	c=1 d=3.47341e-31 t=58
wo liang zhong 	我两种	c=1 d=1.42516e-21 t=58
wo lin shi 	我临时	c=2 d=9.80699e-07 t=58
